INFORMED,SOURCES,DEHUMAN,ROBOREPLACE,SOLVE_MANY,TIME_EFFICIENT,SOLVE_EFFICIENT,VOTE_IMPACT,ETHICAL_CONCERN,AI_FEEL,MAIN_NEWS,GENDER,YEAR_OF_STUDY,AREA_OF_STUDY,other,GPA,SURVYEAR
7,4,4,4,4,4,4,4,3,3,2,1,2,9,,8,2024
5,"1,3",4,4,4,3,4,4,4,1,14,2,2,2,,7,2024
9,"1,3,4",4,3,4,3,5,4,2,1,2,2,5,5,,8,2024
7,"1,3,4",4,4,5,4,4,5,3,1,5,1,,4,,6,2024
8,"1,3",2,3,3,1,4,3,4,3,3,2,1,,,8,2024
6,"1,3,4",4,5,4,3,1,2,4,2,3,1,1,9,,8,2024
6,"1,2",4,4,3,4,2,5,2,3,3,1,,12,biology,8,2024
7,"1,3,4",5,5,2,3,1,5,4,2,8,1,5,4,,7,2024
10,"1,3,4",4,4,5,5,5,3,3,3,12,2,1,12,Engineering ,7,2024
5,"1,3,4",3,2,1,3,3,3,5,3,10,1,2,2,,7,2024
7,"1,2,3,4",2,5,5,4,4,3,4,1,2,2,,8,,7,2024
5,"1,3,4",2,2,2,4,3,1,,1,15,2,1,8,,7,2024
7,"1,3,4",5,5,4,5,3,4,3,2,2,2,2,,,8,2024
8,"1,2,3,4",3,4,2,4,3,1,5,1,15,1,1,12,Health and Medicine,6,2024
6,"1,3,4",3,4,4,2,2,3,4,1,15,2,,5,,8,2024
10,"1,3,4",3,3,5,5,4,5,3,1,5,1,5,1,,8,2024
5,"1,2,3",3,2,4,3,3,2,3,3,5,1,1,11,,4,2024
6,"1,3,4",3,4,4,4,3,2,3,1,12,2,,8,,7,2024
6,"1,3,4",3,4,4,5,3,4,5,1,3,1,5,4,,7,2024
10,"1,3,4",4,4,3,3,3,4,4,2,3,1,,1,,6,2024
3,"1,4,5",4,4,4,4,2,2,5,2,12,2,2,5,,7,2024
7,1,3,2,4,4,3,4,3,3,5,2,1,5,,6,2024
10,"1,3",3,4,2,1,1,1,2,1,12,1,1,8,,8,2024
2,"1,3",2,3,2,2,4,2,5,3,5,2,1,4,,7,2024
7,"2,3",3,3,3,3,3,3,3,1,5,1,4,1,,7,2024
6,"1,3,4",4,3,5,5,4,4,3,1,5,1,5,4,,8,2024
7,"1,3",4,2,3,3,3,3,3,2,5,1,4,11,,7,2024
6,"1,3",4,4,5,5,3,2,4,1,10,2,1,12,Computer Science,8,2024
7,"1,3,4",3,4,5,5,3,4,2,1,2,1,4,,,8,2024
6,"1,3",4,4,4,4,4,4,2,1,12,1,4,1,,8,2024
6,"1,3",3,3,3,4,3,4,3,3,12,1,4,1,,8,2024
5,"1,4,5",4,4,4,4,4,5,3,2,8,1,4,8,,8,2024
6,3,3,3,3,4,4,4,3,1,12,1,4,12,Sociology ,8,2024
6,"1,3,4",3,4,4,4,4,4,2,1,12,1,4,12,Biology,8,2024
8,"1,3,4",4,4,4,5,4,4,4,1,15,1,,7,,8,2024
9,"1,2,3,4",2,5,5,5,5,5,5,1,11,2,5,6,,7,2024
5,"1,3,4",4,4,4,4,4,4,2,3,3,1,4,1,,7,2024
7,"1,3,4",4,4,4,4,4,4,3,3,12,1,,9,,8,2024
8,"1,3,4",3,2,4,4,4,3,3,1,11,1,1,1,,7,2024
5,"1,3,4",2,4,5,5,5,1,3,1,2,2,2,5,,7,2024
6,"1,3,4",3,3,3,3,3,3,3,1,2,1,4,4,,5,2024
6,3,1,,5,4,3,3,4,3,2,1,2,5,,8,2024
2,1,3,3,3,3,3,2,2,3,12,2,1,8,,7,2024
7,"1,2,3,4",3,3,2,4,3,3,3,2,2,2,1,8,,8,2024
9,"1,2,3,4",2,5,3,4,2,4,4,2,10,2,1,12,mechanical engineering ,9,2024
5,"1,3,4",4,3,3,2,3,4,5,3,5,1,2,12,Dental ,7,2024
1,1,3,3,3,3,3,3,3,3,5,2,2,1,,7,2024
7,3,3,3,5,4,2,3,4,1,2,2,1,5,,9,2024
5,"1,3",3,4,5,4,3,3,2,1,15,1,5,12,Social work,8,2024
6,"1,2,3",3,4,3,3,3,4,5,3,15,2,5,1,,7,2024
6,"1,3,4",4,4,4,4,3,4,4,3,2,1,,12,psychology,7,2024
2,"1,3,4",3,4,4,4,4,4,5,1,12,1,,4,,7,2024
3,"1,3,4",2,3,3,4,2,4,4,3,11,2,,1,,6,2024
10,"1,2,3,4",1,3,3,3,3,3,3,1,12,2,2,1,,8,2024
5,"1,2,4",3,4,4,5,3,5,5,1,2,1,5,12,,,2024
7,"1,3",4,4,5,5,5,4,2,1,12,2,2,8,,9,2024
7,"1,2,4",3,4,5,4,4,5,5,1,15,2,5,9,,9,2024
6,"1,3",4,4,4,5,3,4,5,2,12,1,5,5,,8,2024
6,"1,4",3,4,4,4,4,4,5,1,3,2,4,6,,7,2024
6,"1,3,4",4,4,5,5,5,4,5,1,12,2,,12,Engineering ,6,2024
8,1,3,3,2,4,4,2,4,1,1,2,1,2,,7,2024
10,"1,2,3,4",5,5,3,3,2,3,5,2,1,2,2,5,,9,2024
6,"1,3",2,2,4,4,4,2,3,1,3,1,2,1,,6,2024
6,"1,3,4",4,4,4,4,3,3,3,1,6,2,1,5,,7,2024
5,"1,3,4",4,4,4,4,4,4,3,3,6,1,1,12,,7,2024
9,"1,4",3,3,3,3,5,3,3,1,2,2,1,2,,8,2024
8,"1,2,3,4",4,4,4,3,4,4,3,1,6,2,1,12,Engineering,8,2024
6,1,3,3,3,3,3,3,3,1,12,2,,,,8,2024
8,"1,2,3",4,5,5,4,4,2,2,1,5,2,,5,,7,2024
5,"1,3,4",3,3,4,4,3,4,2,2,3,1,,,,8,2024
4,"1,2,3,4",4,4,4,4,2,3,2,2,2,1,,9,,8,2024
6,"1,3",4,2,1,4,3,2,4,2,12,2,,5,,7,2024
7,"1,2,3,4",3,4,4,4,2,3,2,3,3,2,,12,International relations,9,2024
6,"1,3,4",3,4,3,3,3,4,3,2,8,1,2,5,,8,2024
5,"1,3,4",2,4,4,3,3,3,4,2,12,1,1,12,Biology ,9,2024
4,"1,2,4",3,3,5,5,4,2,4,1,12,1,4,,,6,2024
8,"1,2,3,4",3,4,4,4,4,4,3,1,8,1,1,5,,6,2024
8,"1,2,3,4",4,4,4,4,4,4,4,3,2,1,1,1,,8,2024
6,"1,2,3,4",4,4,4,4,4,4,4,4,3,2,1,4,,7,2024
8,"1,2,3,4",4,4,4,4,4,4,4,3,12,2,1,1,,7,2024
9,"1,2,3,4",4,4,4,4,4,4,4,1,8,2,,8,,7,2024
6,"1,3",4,4,4,4,4,4,4,1,15,1,1,1,,7,2024
7,"1,3,4",4,4,4,4,4,4,4,2,8,2,,5,,7,2024
9,"1,3",4,4,4,4,4,4,4,1,1,1,2,1,,7,2024
8,1,4,4,4,4,4,4,4,1,8,1,1,7,,7,2024
2,5,3,4,3,3,3,3,3,3,11,2,5,12,Psychology ,8,2024
8,"1,2,3,4",3,4,5,4,3,4,5,3,12,1,1,1,,9,2024
5,"1,3",2,2,1,3,3,3,3,3,2,2,1,5,,7,2024
10,"1,3,4",4,4,4,4,4,4,3,1,5,1,1,5,,7,2024
8,3,3,3,3,3,3,3,3,1,12,1,1,9,,7,2024
5,"1,3",4,4,4,4,4,4,4,2,12,1,1,4,,7,2024
6,"1,4",4,4,4,4,4,2,5,1,5,2,4,2,,7,2024
8,"1,4",4,4,5,5,4,4,4,1,8,2,5,2,,7,2024
8,"1,3,4",2,4,5,5,4,3,3,1,4,2,2,12,Bio,8,2024
2,"1,3,4",4,4,3,4,3,2,3,3,12,1,5,11,,8,2024
